0050 FSR_0498          rc   0.4850  62.409 120.344  -0.354  0.013  0.045  0.095  -3.86  -1.85   0.49  999.99   99.99     0     2     19     64   1800.  0.150 11.325  0.072  0.048 -0.040  8.550  0.000  -1    0.40    0.14    6.32    2.25    8.01    3.33 DIAS irc   99.999  9.990   0
0051 FSR_0503               0.4905  68.894 120.938   6.104  0.035  0.060  0.140   0.53   1.02   0.42  999.99   99.99     0    15     26    119   4701.  0.799 13.618  0.384  0.256  0.010  9.180  0.000  -1    2.75    0.62   22.25    5.24    0.92    0.15 FPOS       99.999  9.990   0
0052 Stock_21               0.5041  57.931 120.107  -4.828  0.020  0.070  0.155  -1.07  -2.76   0.33  999.99   99.99     0     6     42    168   1700.  0.416 11.286  0.200  0.133 -0.022  8.825  0.000  -1    0.64    0.26    7.36    3.31    6.82    2.21 COCD       99.999  9.990   0
0053 NGC_129                0.5028  60.203 120.285  -2.563  0.020  0.090  0.155  -2.20  -1.16   0.25  -38.03    0.82     5     7     93    240   1685.  0.541 11.307  0.260  0.173 -0.010  7.975  0.000  -1    2.29    0.41    7.26    0.99    9.05    1.58 COCD       99.999  9.990   0
0054 ASCC_3            ac   0.5180  55.275 120.005  -7.484  0.030  0.080  0.240  -1.57  -2.27   0.44  -37.00    7.40     1     4     30    284   1550.  0.250 11.032  0.120  0.080 -0.010  7.729  0.033   2    5.80    2.09   10.54    1.92    1.98    1.30 COCD       99.999  9.990   0
0055 NGC_133                0.5213  63.345 120.668   0.559  0.015  0.035  0.080  -1.92  -1.17   0.66  999.99   99.99     0     5     12     45   1861.  0.625 11.550  0.300  0.200 -0.035  7.300  0.000  -1    0.29    0.11    3.69    1.48   20.05    8.27 DIAS       99.999  9.990   0
0056 NGC_136                0.5267  61.510 120.563  -1.274  0.015  0.055  0.125   0.31  -1.16   0.51  999.99   99.99     0     5     26     77   3519.  0.833 13.000  0.400  0.267  0.000  8.400  0.000  -1    0.95    0.23   14.74    3.86    4.08    1.07 DIAS       99.999  9.990   0
0057 King_14                0.5343  63.181 120.743   0.388  0.017  0.090  0.140  -3.75  -1.55   0.22  999.99   99.99     0     7     95    188   2600.  0.600 12.268  0.288  0.192 -0.010  7.700  0.000  -1    1.19    0.22   10.97    2.15    8.23    1.12 DIAS       99.999  9.990   0
0058 King_15                0.5466  61.890 120.733  -0.905  0.025  0.050  0.095  -3.27  -0.31   0.73  999.99   99.99     0     6     14     27   5500.  0.700 13.927  0.336  0.224  0.000  8.400  0.000  -1    1.90    0.72   16.81    6.89    0.82    0.21 DIAS        0.070  9.990   0
0059 NGC_146                0.5484  63.305 120.847   0.505  0.025  0.060  0.160  -4.17  -2.23   0.41  999.99   99.99     0     8     34    205   2800.  0.600 12.429  0.288  0.192  0.000  7.701  0.214   3    2.17    0.45   12.71    2.59    4.72    0.47 COCD       99.999  9.990   0
